strain,isotype,lat,long,geo,lineage
BRC20391,BRC20391,25.016672,121.557423,Taiwan,Tw5
BRC20400,BRC20400,25.016672,121.557423,Taiwan,Tw3
BRC20464,BRC20464,24.822726,121.735653,Taiwan,Tw3
BRC20548,BRC20548,22.753556,120.731306,Taiwan,Tw1
ECA1299,ECA1299,21.34198,-157.8095,Hawaii,Hw3
ECA1300,ECA1300,21.34202,-157.8096,Hawaii,Hw3
ECA1301,ECA1301,21.34202,-157.8096,Hawaii,Hw3
ECA1302,ECA1302,21.34202,-157.8096,Hawaii,Hw3
ECA1303,ECA1303,21.34202,-157.8096,Hawaii,Hw3
ECA1304,ECA1304,21.34202,-157.8096,Hawaii,Hw3
ECA1305,ECA1305,21.34091,-157.822,Hawaii,Hw3
ECA1306,ECA1306,21.34293,-157.8239,Hawaii,Hw1
ECA1307,ECA1307,21.34198,-157.8095,Hawaii,Hw3
ECA1309,ECA1309,21.34293,-157.8239,Hawaii,Hw1
ECA1310,ECA1310,21.34293,-157.8239,Hawaii,Hw1
ECA1311,ECA1311,20.04062,-155.4413,Hawaii,HC
ECA1312,ECA1312,20.04062,-155.4413,Hawaii,HC
ECA1313,ECA1313,20.04062,-155.4413,Hawaii,HC
ECA1401,ECA1401,21.342699,-157.821547,Hawaii,Hw3
ECA1403,ECA1403,21.342699,-157.821547,Hawaii,Hw3
ECA1405,ECA1405,21.342699,-157.821547,Hawaii,Hw3
ECA1445,ECA1445,19.8552394,-155.1527495,Hawaii,Hw2
ECA1447,ECA1447,19.8552394,-155.1527495,Hawaii,Hw2
ECA1449,ECA1449,19.8552394,-155.1527495,Hawaii,Hw2
ECA1451,ECA1451,19.8552394,-155.1527495,Hawaii,Hw2
ECA1453,ECA1453,19.854497,-155.15326,Hawaii,Hw2
ECA1481,ECA1481,21.39448889,-157.9002278,Hawaii,Hw1
ECA1518,ECA1518,21.39774444,-157.8914889,Hawaii,Hw1
ECA1579,ECA1579,21.317253,-157.81937,Hawaii,Hw1
ECA1581,ECA1581,21.317253,-157.81937,Hawaii,Hw1
ECA1583,ECA1583,21.317253,-157.81937,Hawaii,Hw1
ECA1585,ECA1585,21.317253,-157.81937,Hawaii,Hw1
ECA1599,ECA1599,21.394489,-157.90023,Hawaii,Hw1
ECA1603,ECA1603,21.39578611,-157.9005111,Hawaii,Hw1
ECA2087,ECA2087,21.394489,-157.90023,Hawaii,Hw1
ECA2898,ECA2898,21.355658,-157.7645652,Hawaii,Hw1
ECA2899,ECA2899,21.355658,-157.7645652,Hawaii,Hw1
ECA2900,ECA2900,21.355658,-157.7645652,Hawaii,Hw1
ECA2909,ECA2909,19.11058638,-155.8263837,Hawaii,HC
ECA2910,ECA2910,21.355658,-157.7645652,Hawaii,Hw1
ECA2920,ECA2920,21.355658,-157.7645652,Hawaii,Hw1
ECA2954,ECA2954,22.0638967,-159.3522759,Hawaii,HC
ECA2955,ECA2955,22.0638967,-159.3522759,Hawaii,HC
